	German_voc	French_voc	Aligned	Thème	Page	Rectangle	German_Noun	is_taken	Nom_recherché
60	der Schall		False	Sciences_exactes	05	0	der Schall	True	Schall
61			False	Sciences_exactes	05	0		False	
0	das Gel, e	l	False	Sciences_exactes	05	1	das Gel	True	Gel
1	die Zustandsänderung, en	î	False	Sciences_exactes	05	1	die Zustandsänderung	True	Zustandsänderung
2	das Schmelzen ; schmelzen*, 0, 0, |	i	False	Sciences_exactes	05	1	das Schmelzen	True	Schmelzen
3	der Schmelzpunkt, e	; Î	False	Sciences_exactes	05	1	der Schmelzpunkt	True	Schmelzpunkt
4	die Verdampfung | verdampfen*	 	False	Sciences_exactes	05	1		False	
5	"der Dampf, ""e"	i	False	Sciences_exactes	05	1	der Dampf	True	Dampf
6	die Verdunstung ; verdunsten*	 	False	Sciences_exactes	05	1	die Verdunstung	True	Verdunstung
7	der Siedepunkt, e ; sieden	le odule d'élasticité	False	Sciences_exactes	05	1	der Siedepunkt	True	Siedepunkt
8	der Gefrierpunkt; gefrieren*, o, 0 |	la limite d'élasticité	False	Sciences_exactes	05	1	der Gefrierpunkt	True	Gefrierpunkt
9	die Erstarrung ;erstarren* |	la limite de résistance	False	Sciences_exactes	05	1	die Erstarrungerstarren*	True	Erstarrungerstarren*
10	die Kondensierung	le point de rupture	False	Sciences_exactes	05	1	die Kondensierung	True	Kondensierung
11	kondensieren*	la écanique des luides	False	Sciences_exactes	05	1		False	
12	die Verflüssigung, en	l'hydrostatique 	False	Sciences_exactes	05	1	die Verflüssigung	True	Verflüssigung
13	verflüssigt werden |	l'hydrodynamique 	False	Sciences_exactes	05	1		False	
14	die Sublimation, en |	luide	False	Sciences_exactes	05	1	die Sublimation	True	Sublimation
15	sublimieren* (zu+D)	’écoulement 	False	Sciences_exactes	05	1		False	
16	das Sublimat, e	'écoulement laminaire	False	Sciences_exactes	05	1	das Sublimat	True	Sublimat
17	die Mechanik	l'écoulement turbulent	False	Sciences_exactes	05	1	die Mechanik	True	Mechanik
18	die Statik	lux	False	Sciences_exactes	05	1	die Statik	True	Statik
19	die Dynamik	surface de séparation	False	Sciences_exactes	05	1	die Dynamik	True	Dynamik
20	"die Kraft, ""e"	tension superficielle	False	Sciences_exactes	05	1	die Kraft	True	Kraft
21	das Moment, e	la capillarité	False	Sciences_exactes	05	1	das Moment	True	Moment
22	das Kräftepaar, e	la viscosité ; visqueux	False	Sciences_exactes	05	1	das Kräftepaar	True	Kräftepaar
23	die Resultante, n	la densité	False	Sciences_exactes	05	1	die Resultante	True	Resultante
24	die Arbeit	la pression	False	Sciences_exactes	05	1	die Arbeit	True	Arbeit
25	die Leistung	poussée	False	Sciences_exactes	05	1	die Leistung	True	Leistung
26	die Bewegungslehre/die Kinetik	le principe d’Archimède	False	Sciences_exactes	05	1	"die Bewegungslehre
die"	True	"Bewegungslehre
die"
27	die kinetische Energie	les vases communicanis	False	Sciences_exactes	05	1		False	
28	die Lageenergie, die potentielle	le vide	False	Sciences_exactes	05	1	die Lageenergie	True	Lageenergie
29	Energie	dans le vide	False	Sciences_exactes	05	1		False	
30	der Energieerhaltungssatz	 	False	Sciences_exactes	05	1	der Energieerhaltungssatz	True	Energieerhaltungssatz
31	das Feld, er	la cinématique	False	Sciences_exactes	05	1	das Feld	True	Feld
32	der Vektor, en	le ouvement	False	Sciences_exactes	05	1	der Vektor	True	Vektor
33	der Effekt, e	la quantité de ouvement	False	Sciences_exactes	05	1	der Effekt	True	Effekt
34	die Wirkung, en	le ouvement cinétique en un	False	Sciences_exactes	05	1	die Wirkung	True	Wirkung
35	das Gleichgewicht	point	False	Sciences_exactes	05	1	das Gleichgewicht	True	Gleichgewicht
36	das Gewicht, e, die schwere Masse	le ouvement rectiligne	False	Sciences_exactes	05	1	das Gewicht	True	Gewicht
37	der Schwerpunkt, e	le ouvement uniforme	False	Sciences_exactes	05	1	der Schwerpunkt	True	Schwerpunkt
38	die (träge) Masse	le ouvement uniformément	False	Sciences_exactes	05	1	die (träge)	True	(träge)
39	die Schwere, die Schwerkraft	accéléré	False	Sciences_exactes	05	1	die Schwere	True	Schwere
40	"die Anziehungskraft, ""e"	le ouvement circulaire	False	Sciences_exactes	05	1	die Anziehungskraft	True	Anziehungskraft
41	an-ziehen, 0, 0	en chute libre	False	Sciences_exactes	05	1		False	
42	die Gravitation, die Massenanziehung	la vitesse	False	Sciences_exactes	05	1	die Gravitation	True	Gravitation
43	das allgemeine Gravitationsgesetz	la vitesse initiale	False	Sciences_exactes	05	1		False	
44	die Trägheit	la vitesse oyenne	False	Sciences_exactes	05	1	die Trägheit	True	Trägheit
45	die Reibung, en	la vitesse instantanée	False	Sciences_exactes	05	1	die Reibung	True	Reibung
46	der Hebel, -	la vitesse angulaire	False	Sciences_exactes	05	1	der Hebel	True	Hebel
47	die Spannung, en	l'accélération 	False	Sciences_exactes	05	1	die Spannung	True	Spannung
48	die Kompression, en	la résistance de l'air	False	Sciences_exactes	05	1	die Kompression	True	Kompression
49	die Kompressibilität	la direction, le sens	False	Sciences_exactes	05	1	die Kompressibilität	True	Kompressibilität
50	ein kompressibler Körper	la trajectoire circulaire	False	Sciences_exactes	05	1		False	
51	inkompressibel	la orce centripète	False	Sciences_exactes	05	1		False	
52	die Zugspannung, en	la orce centrifuge	False	Sciences_exactes	05	1	die Zugspannung	True	Zugspannung
53	die Scherung, en	la chaleur	False	Sciences_exactes	05	1	die Scherung	True	Scherung
54	die Dehnung, en	la thermodynamique	False	Sciences_exactes	05	1	die Dehnung	True	Dehnung
55	die Drillung, en, die Torsion, en	l'énergie calorifique	False	Sciences_exactes	05	1	die Drillung	True	Drillung
56	die Blegung, en	la capacité calorifique	False	Sciences_exactes	05	1	die Blegung	True	Blegung
57	die Deformation, en, die Verformung, en	l’entropie 	False	Sciences_exactes	05	1	die Deformation	True	Deformation
58	die Elastizität	la calorimétrie	False	Sciences_exactes	05	1	die Elastizität	True	Elastizität
59		la température	False	Sciences_exactes	05	1		False	
60		la chaleur assique	False	Sciences_exactes	05	1		False	
61		le rayonnement thermique	False	Sciences_exactes	05	1		False	
62		le corps noir	False	Sciences_exactes	05	1		False	
63		la convection	False	Sciences_exactes	05	1		False	
64		la dilatation	False	Sciences_exactes	05	1		False	
65		dilater ; se dilater	False	Sciences_exactes	05	1		False	
66		la conduction	False	Sciences_exactes	05	1		False	
67		la conductibilité	False	Sciences_exactes	05	1		False	
68		l'acoustique À	False	Sciences_exactes	05	1		False	
69		le son	False	Sciences_exactes	05	1		False	
70			False	Sciences_exactes	05	1		False	
0	die Schallwelle, n	l'aberration chromatique	False	Sciences_exactes	06	0	die Schallwelle	True	Schallwelle
1	die Wellenbewegung, en	l'astigmatisme 	False	Sciences_exactes	06	0	die Wellenbewegung	True	Wellenbewegung
2	die Schallgeschwindigkeit	la distorsion	False	Sciences_exactes	06	0	die Schallgeschwindigkeit	True	Schallgeschwindigkeit
3	die Stoßwelle, n	l'interférence 	False	Sciences_exactes	06	0	die Stoßwelle	True	Stoßwelle
4	die Lautstärke	la plarisation	False	Sciences_exactes	06	0	die Lautstärke	True	Lautstärke
5	die Hörempfindung, en	le spectre	False	Sciences_exactes	06	0	die Hörempfindung	True	Hörempfindung
6	der Infraschall	l’analyse spectrale	False	Sciences_exactes	06	0	der Infraschall	True	Infraschall
7	der Ultraschall	la décomposition de la lumière	False	Sciences_exactes	06	0	der Ultraschall	True	Ultraschall
8	die Schallausbreitung	l'infrarouge 	False	Sciences_exactes	06	0	die Schallausbreitung	True	Schallausbreitung
9	die Schallmauer	lultravilet 	False	Sciences_exactes	06	0	die Schallmauer	True	Schallmauer
10	durch-brechen, a, o, i	le spectroscope	False	Sciences_exactes	06	0		False	
11	der Überschallknall, e	l’hologramme 	False	Sciences_exactes	06	0	der Überschallknall	True	Überschallknall
12	die Schwingung, en	l’holographie 	False	Sciences_exactes	06	0	die Schwingung	True	Schwingung
13	die Oszillation, en	l'instrument d'optique	False	Sciences_exactes	06	0	die Oszillation	True	Oszillation
14	die gedämpfte Schwingung	le verre grossissant	False	Sciences_exactes	06	0		False	
15	schwingen, a, u ; oszillieren	la loupe	False	Sciences_exactes	06	0		False	
16	die Schwingungsweite, n	le icroscope	False	Sciences_exactes	06	0	die Schwingungsweite	True	Schwingungsweite
17	die Schwingungsdauer, die Periode, n	l'oculaire 	False	Sciences_exactes	06	0	die Schwingungsdauer	True	Schwingungsdauer
18	die Frequenz, en	la jumelle/les jumelles	False	Sciences_exactes	06	0	die Frequenz	True	Frequenz
19	die Phase, n	la lunette d'approche/ la longue-vue	False	Sciences_exactes	06	0	die Phase	True	Phase
20	die Welle, n	la lunette astronomique/ le réfracteur	False	Sciences_exactes	06	0	die Welle	True	Welle
21	die Wellenlänge, n	le télescope/le réflecteur	False	Sciences_exactes	06	0	die Wellenlänge	True	Wellenlänge
22	die Schallabdichtung	l'électricité	False	Sciences_exactes	06	0	die Schallabdichtung	True	Schallabdichtung
23	die Schalldammung	la charge électrique	False	Sciences_exactes	06	0	die Schalldammung	True	Schalldammung
24	das Echo	l'électron 	False	Sciences_exactes	06	0	das Echo	True	Echo
25	die Optik	chargé négativement, positivement	False	Sciences_exactes	06	0	die Optik	True	Optik
26	die geometrische Optik	la conductivité	False	Sciences_exactes	06	0		False	
27	die Wellenoptik	la conductance	False	Sciences_exactes	06	0	die Wellenoptik	True	Wellenoptik
28	die physikalische Optik	le semi-conducteur	False	Sciences_exactes	06	0		False	
29	die Elektronenoptik	non conducteur	False	Sciences_exactes	06	0	die Elektronenoptik	True	Elektronenoptik
30	das Licht	le non-conducteur	False	Sciences_exactes	06	0	das Licht	True	Licht
31	der Lichtstrahl, en	l'islant 	False	Sciences_exactes	06	0	der Lichtstrahl	True	Lichtstrahl
32	das Stahlenbündel, -	le courant	False	Sciences_exactes	06	0	das Stahlenbündel	True	Stahlenbündel
33	das Photon, en	le courant alternatif	False	Sciences_exactes	06	0	das Photon	True	Photon
34	die Reflexion	le courant continu	False	Sciences_exactes	06	0	die Reflexion	True	Reflexion
35	die Beugung, die Diffraktion	le courant triphasé	False	Sciences_exactes	06	0	die Beugung	True	Beugung
36	die Lichtbrechung, die Refraktion	le potentiel électrique	False	Sciences_exactes	06	0	die Lichtbrechung	True	Lichtbrechung
37	die Brechzahl, en	la différence de potentiel	False	Sciences_exactes	06	0	die Brechzahl	True	Brechzahl
38	das Medium, dien	la tension	False	Sciences_exactes	06	0	das Medium	True	Medium
39	der einfallende Strahl	la résistance	False	Sciences_exactes	06	0		False	
40	der reflektierte Strahl	l'intensité 	False	Sciences_exactes	06	0		False	
41	der gebrochene Strahl	le condensateur	False	Sciences_exactes	06	0		False	
42	die Dispersion, en	l'induction 	False	Sciences_exactes	06	0	die Dispersion	True	Dispersion
43	die Streuung, en	le agnétisme	False	Sciences_exactes	06	0	die Streuung	True	Streuung
44	das Prisma, men	le champ agnétique	False	Sciences_exactes	06	0	das Prisma	True	Prisma
45	der ebene Spiegel/der Planspiegel, der Konvexspiegel, -	le pôle	False	Sciences_exactes	06	0		False	
46	der Hohlspiegel, -	Faimant 	False	Sciences_exactes	06	0	der Hohlspiegel	True	Hohlspiegel
47	der Parabolspiegel, -	l'onde électromagnétique	False	Sciences_exactes	06	0	der Parabolspiegel	True	Parabolspiegel
48	das optische Bild, er	le radar	False	Sciences_exactes	06	0		False	
49	die Linse, n	le laser	False	Sciences_exactes	06	0	die Linse	True	Linse
50	bikonkav ; bikonvex	la physique atomique	False	Sciences_exactes	06	0		False	
51	plankonvex	la physique nucléaire	False	Sciences_exactes	06	0		False	
52	die Sammellinse	nucléaire	False	Sciences_exactes	06	0	die Sammellinse	True	Sammellinse
53	die Zerstrauungslinse	atomique	False	Sciences_exactes	06	0	die Zerstrauungslinse	True	Zerstrauungslinse
54	das Objektiv, e	la recherche nucléaire	False	Sciences_exactes	06	0	das Objektiv	True	Objektiv
55	die Brennweite, n	la atière	False	Sciences_exactes	06	0	die Brennweite	True	Brennweite
56	der Brennpunkt, e		False	Sciences_exactes	06	0	der Brennpunkt	True	Brennpunkt
57	die Brennlinie, n		False	Sciences_exactes	06	0	die Brennlinie	True	Brennlinie
58	die Fokussierung		False	Sciences_exactes	06	0	die Fokussierung	True	Fokussierung
59	die optische Aberration, en		False	Sciences_exactes	06	0		False	
60	die sphärische Aberration		False	Sciences_exactes	06	0		False	
61			False	Sciences_exactes	06	0		False	
0	die chromatische Aberration	l'onde sonore	False	Sciences_exactes	06	1		False	
1	der Astigmatismus	le ouvement ondulatoire	False	Sciences_exactes	06	1	der Astigmatismus	True	Astigmatismus
2	die Verzeichnung, en/die Distorsion, en	la vitesse du son	False	Sciences_exactes	06	1	die Verzeichnung	True	Verzeichnung
3	die Interferenz, en	l'onde \( de choc	False	Sciences_exactes	06	1	die Interferenz	True	Interferenz
4	die Polarisation, en	l'intensité sonore	False	Sciences_exactes	06	1	die Polarisation	True	Polarisation
5	das Spektrum, ren/ra	la perception 	False	Sciences_exactes	06	1	das Spektrum	True	Spektrum
6	die Spektralanalyse, n	l'infrason 	False	Sciences_exactes	06	1	die Spektralanalyse	True	Spektralanalyse
7	die Zerlegung des Lichtes	l'ultrason 	False	Sciences_exactes	06	1		False	
8	das Ultrarot, das Infrarot (vx)	la propagation du son	False	Sciences_exactes	06	1	das Ultrarot	True	Ultrarot
9	das Ultraviolett	franchir le ur du son	False	Sciences_exactes	06	1	das Ultraviolett	True	Ultraviolett
10	das Spektroskop, e	le bang supersonique	False	Sciences_exactes	06	1	das Spektroskop	True	Spektroskop
11	das Hologramm, @	la vibration	False	Sciences_exactes	06	1	das Hologramm	True	Hologramm
12	die Holographie	l’oscillation 	False	Sciences_exactes	06	1	die Holographie	True	Holographie
13	das optische Gerät, e	la vibration amortie	False	Sciences_exactes	06	1		False	
14	"das Vergrößerungsglas, ""er"	vibrer ; osciller	False	Sciences_exactes	06	1	das Vergrößerungsglas	True	Vergrößerungsglas
15	die Lupe, n	l'amplitude 	False	Sciences_exactes	06	1	die Lupe	True	Lupe
16	das Mikroskop, &	la période	False	Sciences_exactes	06	1	das Mikroskop	True	Mikroskop
17	das Okular, e	la réquence	False	Sciences_exactes	06	1	das Okular	True	Okular
18	"das Fernglas, ""er, der Fernstecher, - (fam)"	la phase	False	Sciences_exactes	06	1	das Fernglas	True	Fernglas
19	das Fernrohr, e	l'onde 	False	Sciences_exactes	06	1	das Fernrohr	True	Fernrohr
20	das Linsenfernrohr/der Refraktor, en	la longueur d’onde	False	Sciences_exactes	06	1	"das Linsenfernrohr
der"	True	"Linsenfernrohr
der"
21	das (Spiegel)teleskop, e/der Reflektor, en	l'islation acoustique	False	Sciences_exactes	06	1	das (Spiegel)teleskop	True	(Spiegel)teleskop
22	die Elektrizität	l'insonorisation 	False	Sciences_exactes	06	1	die Elektrizität	True	Elektrizität
23	die elektrische Ladung, en	l'écho 	False	Sciences_exactes	06	1		False	
24	das Elektron, en	l'optique 	False	Sciences_exactes	06	1	das Elektron	True	Elektron
25	negativ, positiv geladen	l'optique géométrique	False	Sciences_exactes	06	1		False	
26	die Leitfähigkeit	l'optique ondulatoire	False	Sciences_exactes	06	1	die Leitfähigkeit	True	Leitfähigkeit
27	der Leitwert, e	l'optique physique	False	Sciences_exactes	06	1	der Leitwert	True	Leitwert
28	der Halbleiter, -	l'optique électronique	False	Sciences_exactes	06	1	der Halbleiter	True	Halbleiter
29	nichtleitend	la lumière	False	Sciences_exactes	06	1		False	
30	der Nichtleiter, -	le rayon lumineux	False	Sciences_exactes	06	1	der Nichtleiter	True	Nichtleiter
31	der Isolator, en	le aisceau lumineux	False	Sciences_exactes	06	1	der Isolator	True	Isolator
32	der Strom	le phoion	False	Sciences_exactes	06	1	der Strom	True	Strom
33	der Wechselstrom	la réflexion	False	Sciences_exactes	06	1	der Wechselstrom	True	Wechselstrom
34	der Gleichstrom	la diffraction	False	Sciences_exactes	06	1	der Gleichstrom	True	Gleichstrom
35	der Drehstrom/Dreiphasenstrom	la réfraction	False	Sciences_exactes	06	1	"der Drehstrom
der"	True	"Drehstrom
der"
36	das elektrische Potential	l'indice de réfraction	False	Sciences_exactes	06	1		False	
37	der Spannungsunterschied, &	le ilieu	False	Sciences_exactes	06	1	der Spannungsunterschied	True	Spannungsunterschied
38	die Spannung, en	le rayon incident	False	Sciences_exactes	06	1	die Spannung	True	Spannung
39	der Widerstand	le rayon réfléchi	False	Sciences_exactes	06	1	der Widerstand	True	Widerstand
40	die Stromstärke	le rayon réfracté	False	Sciences_exactes	06	1	die Stromstärke	True	Stromstärke
41	der Kondensator, en	la dispersion	False	Sciences_exactes	06	1	der Kondensator	True	Kondensator
42	die Induktion	la diffusion	False	Sciences_exactes	06	1	die Induktion	True	Induktion
43	der Magnetismus	le prisme	False	Sciences_exactes	06	1	der Magnetismus	True	Magnetismus
44	das Magnetfeld/das magnetische Feld, er	le iroir plan	False	Sciences_exactes	06	1		False	
45	der Pol, e	le iroir convexe	False	Sciences_exactes	06	1	der Pol	True	Pol
46	der Magnet, s/en, s/en	le iroir concave	False	Sciences_exactes	06	1	der Magnet	True	Magnet
47	die elektromagnetische Welle, n	le iroir parabolique	False	Sciences_exactes	06	1		False	
48	der/das Radar, &	l'image optique	False	Sciences_exactes	06	1	der Radar	True	Radar
49	der Laser, -	la lentille	False	Sciences_exactes	06	1	der Laser	True	Laser
50	die Atomphysik	biconcave ; biconvexe	False	Sciences_exactes	06	1	die Atomphysik	True	Atomphysik
51	die Kernphysik	planconvexe	False	Sciences_exactes	06	1	die Kernphysik	True	Kernphysik
52	Kem-, nuklear	la lentille convergente	False	Sciences_exactes	06	1		False	
53	‚Atom-, atomar	la lentille divergente	False	Sciences_exactes	06	1		False	
54	die Kernforschung	l'objectif 	False	Sciences_exactes	06	1	die Kernforschung	True	Kernforschung
55	die Materie	la distance ocale	False	Sciences_exactes	06	1	die Materie	True	Materie
56		le oyer	False	Sciences_exactes	06	1		False	
57		la ligne ocale	False	Sciences_exactes	06	1		False	
58		la ocalisation	False	Sciences_exactes	06	1		False	
59		l’aberration optique	False	Sciences_exactes	06	1		False	
60		l’aberratian de sphéricité	False	Sciences_exactes	06	1		False	
61			False	Sciences_exactes	06	1		False	
0	das (Stoffigemisch, e	le élange	False	Sciences_exactes	07	0		False	
1	homogen ; heterogen	homogène ; hétérogène	False	Sciences_exactes	07	0		False	
2	der Bestandteil, e	le composant/le constituant	False	Sciences_exactes	07	0	der Bestandteil	True	Bestandteil
3	die lonenbindung, en	la liaison ionique	False	Sciences_exactes	07	0		False	
4	die Atombindung	la liaison atomique	False	Sciences_exactes	07	0	die Atombindung	True	Atombindung
5	die Doppelbindung	la double liaison	False	Sciences_exactes	07	0	die Doppelbindung	True	Doppelbindung
6	die Metallbindung	la liaison étallique	False	Sciences_exactes	07	0	die Metallbindung	True	Metallbindung
7	binden, a, u	lier	False	Sciences_exactes	07	0		False	
8	die Verbindung, en	la combinaison	False	Sciences_exactes	07	0	die Verbindung	True	Verbindung
9	verbinden, a, u	combiner	False	Sciences_exactes	07	0		False	
10	die Zerlegung, en/die Analyse, n	l'analyse 	False	Sciences_exactes	07	0	die Zerlegung	True	Zerlegung
11	zerlegen, analysieren	analyser	False	Sciences_exactes	07	0		False	
12	qualitativ ; quantitativ	qualitatif ; quantitatif	False	Sciences_exactes	07	0		False	
13	die Synthese, n	la synthèse	False	Sciences_exactes	07	0	die Synthese	True	Synthese
14	die physikalische Eigenschaft, en	la propriété physique	False	Sciences_exactes	07	0		False	
15	die chemische Eigenschaft	la propriété chimique	False	Sciences_exactes	07	0		False	
16	"der chemische Vorgang, ""e"	le phénomène chimique	False	Sciences_exactes	07	0		False	
17	die chemische Reaktion, en	la réaction chimique	False	Sciences_exactes	07	0		False	
18	die Reaktionsgleichung, en	l'équation de réaction	False	Sciences_exactes	07	0	die Reaktionsgleichung	True	Reaktionsgleichung
19	die Alommasse	la asse atomique	False	Sciences_exactes	07	0	die Alommasse	True	Alommasse
20	die Molekularmasse	la asse oléculaire	False	Sciences_exactes	07	0	die Molekularmasse	True	Molekularmasse
21	die Stöchiometrie	la stœchiométrie	False	Sciences_exactes	07	0	die Stöchiometrie	True	Stöchiometrie
22	die Lösung, en	la solution	False	Sciences_exactes	07	0	die Lösung	True	Lösung
23	(wasser)löslich	soluble 	False	Sciences_exactes	07	0		False	
24	die Löslichkeit	la solubilité	False	Sciences_exactes	07	0	die Löslichkeit	True	Löslichkeit
25	eine nicht wässrige Lösung	une solution non aqueuse	False	Sciences_exactes	07	0		False	
26	die gesättigte Lösung	la solution saturée	False	Sciences_exactes	07	0		False	
27	(auf-)lösen	dissoudre	False	Sciences_exactes	07	0		False	
28	ab-gießen, 0,0	décanter	False	Sciences_exactes	07	0		False	
29	das Solvat, e	le soluté	False	Sciences_exactes	07	0	das Solvat	True	Solvat
30	das Lösungsmittel, -/das Solvens, zien	le solvant	False	Sciences_exactes	07	0	das Lösungsmittel	True	Lösungsmittel
31	die Verdünnung, en ; verdünnen	la dilution ; diluer	False	Sciences_exactes	07	0	die Verdünnung	True	Verdünnung
32	an-reichern	enrichir	False	Sciences_exactes	07	0		False	
33	die Konzentration, en	la concentration	False	Sciences_exactes	07	0	die Konzentration	True	Konzentration
34	die tnermochemische Reaktion	la réaction thermochimique	False	Sciences_exactes	07	0		False	
35	exotherm	exothermique	False	Sciences_exactes	07	0		False	
36	endotherm	endothermique	False	Sciences_exactes	07	0		False	
37	der Katalysator, en	le catalyseur	False	Sciences_exactes	07	0	der Katalysator	True	Katalysator
38	die Elektrolyse, n	Pélectrolyse 	False	Sciences_exactes	07	0	die Elektrolyse	True	Elektrolyse
39	elektrolytisch	électrolytique	False	Sciences_exactes	07	0		False	
40	der Elektrolyt, s/en, e/en	l'électrolyte 	False	Sciences_exactes	07	0	der Elektrolyt	True	Elektrolyt
41	dissoziieren	dissocier	False	Sciences_exactes	07	0		False	
42	die Säure, n	l’acide 	False	Sciences_exactes	07	0	die Säure	True	Säure
43	säurefrei	non acide	False	Sciences_exactes	07	0		False	
44	säurefest	résistant aux acides	False	Sciences_exactes	07	0		False	
45	ätzend	corrosif	False	Sciences_exactes	07	0		False	
46	sauer schrnecken	avoir un goût acide	False	Sciences_exactes	07	0		False	
47	der Säuregrad	l'acidité 	False	Sciences_exactes	07	0	der Säuregrad	True	Säuregrad
48	die saure Lösung	la solution acide	False	Sciences_exactes	07	0		False	
49	die Essigsäure	l'acide acétique	False	Sciences_exactes	07	0	die Essigsäure	True	Essigsäure
50	die Kohlensäure	l'acide carbonique	False	Sciences_exactes	07	0	die Kohlensäure	True	Kohlensäure
51	die Salzsäure	l'acide chlorhydrique	False	Sciences_exactes	07	0	die Salzsäure	True	Salzsäure
52	die Chlorsäure	l'acide chlorique	False	Sciences_exactes	07	0	die Chlorsäure	True	Chlorsäure
53	die salpetrige Säure	l'acide nitreux	False	Sciences_exactes	07	0		False	
54	die Salpetersäure	l'acide nitrique	False	Sciences_exactes	07	0	die Salpetersäure	True	Salpetersäure
55	die Karbolsäure, das Phenol	l'acide phénique, le phénol	False	Sciences_exactes	07	0	die Karbolsäure	True	Karbolsäure
56	die Phosphorsäure	l'acide phosphorique	False	Sciences_exactes	07	0	die Phosphorsäure	True	Phosphorsäure
57	die Blausäure	l'acide prussique	False	Sciences_exactes	07	0	die Blausäure	True	Blausäure
58	die Schwefel(wasserstoff)säure	l'acide sulfurique	False	Sciences_exactes	07	0	die Schwefel(wasserstoff)säure	True	Schwefel(wasserstoff)säure
59	die schweflige Säure	l'acide sulfureux	False	Sciences_exactes	07	0		False	
60	die Weinsäure	l'acide tartrique	False	Sciences_exactes	07	0	die Weinsäure	True	Weinsäure
61			False	Sciences_exactes	07	0		False	
0	die Antimaterie	l'antimatière 	False	Sciences_exactes	07	1	die Antimaterie	True	Antimaterie
1	der Atomkern, e/der Nukleus, ei	le noyau atomique	False	Sciences_exactes	07	1	der Atomkern	True	Atomkern
2	das Molekül, e	la olécule	False	Sciences_exactes	07	1	das Molekül	True	Molekül
3	das Atom, e	l'atome 	False	Sciences_exactes	07	1	das Atom	True	Atom
4	das Elementarteilchen, -	la particule élémentaire	False	Sciences_exactes	07	1	das Elementarteilchen	True	Elementarteilchen
5	das Antiteilchen	l'antiparticule	False	Sciences_exactes	07	1	das Antiteilchen	True	Antiteilchen
6	das Elektron, en	l'électron 	False	Sciences_exactes	07	1	das Elektron	True	Elektron
7	das Proton, en	le proton	False	Sciences_exactes	07	1	das Proton	True	Proton
8	das Neutron, en	le neutron	False	Sciences_exactes	07	1	das Neutron	True	Neutron
9	die Strahlung, en	la radiation	False	Sciences_exactes	07	1	die Strahlung	True	Strahlung
10	die Radioaktivität	la radioactivité	False	Sciences_exactes	07	1	die Radioaktivität	True	Radioaktivität
11	das Isotop, e	l'isotope 	False	Sciences_exactes	07	1	das Isotop	True	Isotop
12	die Röntgenstrahlen/die X-Strahlen mp/	les rayons X	False	Sciences_exactes	07	1		False	
13	die Gammastrahlen	les rayons gamma	False	Sciences_exactes	07	1	die Gammastrahlen	True	Gammastrahlen
14	die ionisierende Strahlung	le rayonnement ionisant	False	Sciences_exactes	07	1		False	
15	die Emission, en ; emittieren	l'émission 7 ; émettre	False	Sciences_exactes	07	1	die Emission	True	Emission
16	die Absorption, en ; absorbieren	l'absorption ; absorber	False	Sciences_exactes	07	1	die Absorption	True	Absorption
17	die Kernfusion	la usion nucléaire	False	Sciences_exactes	07	1	die Kernfusion	True	Kernfusion
18	die Kernspaltung	la ission nucléaire	False	Sciences_exactes	07	1	die Kernspaltung	True	Kernspaltung
19	der Kernzerfall/die Kernzertrümmerung, en	la désintégration nucléaire	False	Sciences_exactes	07	1	"der Kernzerfall
die"	True	"Kernzerfall
die"
20	die Kettenumwandlung, en	la désintégration en chaîne	False	Sciences_exactes	07	1	die Kettenumwandlung	True	Kettenumwandlung
21	die Kettenreaktion, en	la réaction en chaîne	False	Sciences_exactes	07	1	die Kettenreaktion	True	Kettenreaktion
22	der Teilchenbeschleuniger, -	l'accélérateur de particul	False	Sciences_exactes	07	1	der Teilchenbeschleuniger	True	Teilchenbeschleuniger
23	das Zyklotron, e	le cyclotron	False	Sciences_exactes	07	1	das Zyklotron	True	Zyklotron
24	die Blasenkammer, n	la chambre à bulles	False	Sciences_exactes	07	1	die Blasenkammer	True	Blasenkammer
25	die Kernenergie/Atomenergie	l'énergie atomique	False	Sciences_exactes	07	1	"die Kernenergie
die"	True	"Kernenergie
die"
26	das Kernkraftwerk, e	la centrale nucléaire	False	Sciences_exactes	07	1	das Kernkraftwerk	True	Kernkraftwerk
27	der Kernreaktor	le réacteur nucléaire	False	Sciences_exactes	07	1	der Kernreaktor	True	Kernreaktor
28	der schnelle Brüter, -	le surrégénérateur/ surgénérateur	False	Sciences_exactes	07	1		False	
29	der Reaktorkern	le cœur du réacteur	False	Sciences_exactes	07	1	der Reaktorkern	True	Reaktorkern
30	"der Brennstoffstab, ""e"	la barre de combustible	False	Sciences_exactes	07	1	der Brennstoffstab	True	Brennstoffstab
31	die Abschirmung	l'enceinte de confinement	False	Sciences_exactes	07	1	die Abschirmung	True	Abschirmung
32			False	Sciences_exactes	07	1		False	
0	die Chemie	la chimie	False	Sciences_exactes	07	2	die Chemie	True	Chemie
1	der Chemiker, -	le chimiste	False	Sciences_exactes	07	2	der Chemiker	True	Chemiker
2	die Alchimie ; der Alchimist, en, en	l'aichimie ; l'alchimiste 	False	Sciences_exactes	07	2	"die Alchimie
der"	True	"Alchimie
der"
3	die angewandte Chemie	la chimie appliquée	False	Sciences_exactes	07	2		False	
4	die Biochemie	la biochimie	False	Sciences_exactes	07	2	die Biochemie	True	Biochemie
5	die Substanz, en	la substance	False	Sciences_exactes	07	2	die Substanz	True	Substanz
